Timestamp;Latitude;Longitude
1478336694;-8.61963;-36.61307
1478336755;-8.61968;-36.61302
1478336816;-8.61963;-36.61313
1478336877;-8.61961;-36.61316
1478336938;-8.61961;-36.61308
1478336999;-8.61965;-36.61306
1478337060;-8.61965;-36.61306
1478337121;-8.61964;-36.61306
1478337182;-8.61963;-36.61306
1478337243;-8.61963;-36.61308
1478337304;-8.61964;-36.61308
1478337365;-8.61964;-36.61308
1478337426;-8.61959;-36.61308
1478337487;-8.61958;-36.61310
1478337548;-8.61958;-36.61304
1478337609;-8.61958;-36.61314
1478337670;-8.61967;-36.61317
1478337731;-8.61963;-36.61316
1478337792;-8.61961;-36.61316
1478337853;-8.61963;-36.61318
1478337914;-8.61958;-36.61317
1478337975;-8.61955;-36.61311
1478338036;-8.61954;-36.61301
1478338097;-8.61963;-36.61318
1478338158;-8.61965;-36.61317
1478338219;-8.61966;-36.61316
1478338280;-8.61965;-36.61319
1478338341;-8.61967;-36.61314
1478338402;-8.61961;-36.61323
1478338463;-8.61918;-36.61283
1478338524;-8.61976;-36.61290
1478338585;-8.61975;-36.61306
1478338646;-8.61963;-36.61304
1478338707;-8.61971;-36.61304
1478338768;-8.61957;-36.61316
1478338829;-8.61993;-36.61292
1478338894;-8.61958;-36.61317
1478338959;-8.61948;-36.61338
1478339020;-8.61889;-36.61239
1478339113;-8.61945;-36.61290
1478339174;-8.61926;-36.61317
